address, token_allocation
tz1eCLWs5k2Xh8jsqigz5zsNHoUQXWRSPDBp, 755.2870090634441
tz1eCZJnqAXjS2Dw3yd2uXbPyvdhSbdu4f4c, 151.05740181268882
tz1eE1qrJhsWPe65WEt31pWG2sJN5zxJZNjM, 151.05740181268882
tz1eee5rapGDbq2bcZYTQwNbrkB4jVSQSSHx, 755.2870090634441
tz1eeR22tmjPN3rGDikEMvpe8jcdXww3dqTt, 151.05740181268882
tz1eFe7ufhpTuqh3LHB7zYLuFgB1rFCPXnzN, 151.05740181268882
tz1egZ7YNcG81udp3pGXPBsYQsUNHB7xAH7V, 755.2870090634441
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1, 302.11480362537765
tz1ehi2FBU4jejksde7qpj4iqN27x1mv97sS, 302.11480362537765
tz1eHjHbhpvr59sF7EQL2qU4wGhKLLUJmJRv, 151.05740181268882
tz1eHsZ3KJthCxWKC6ApNa4GtqUiMHdDFjoj, 151.05740181268882
tz1eK1BQWxv7mKn924RYRTxUj7ZWLD4zpZAG, 151.05740181268882
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS, 151.05740181268882
tz1eMxPBWq3BxK5btoVuuBvvPqw19RTT8U3X, 151.05740181268882
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6, 151.05740181268882
tz1enSmESCGkRYo2CtDYKhqUHFTAQkpXjYjg, 453.1722054380665
tz1eo3dsD25GMrkD34awyjbH4XZi7JrsApPh, 151.05740181268882
tz1eoqCSmqPQtTLs53Rj6gBB14eQh2aHWVxu, 302.11480362537765
tz1eRrQnioaBfZkWnXxYth5ZHYJqr48E854Q, 151.05740181268882
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y, 604.2296072507553
tz1etDLGYdnSeCJSCU6cXoMwAcLxAwWiije5, 151.05740181268882
tz1eTKUU4v43YCeGYu3DavpMiKz1Lfijuayp, 151.05740181268882
tz1ewhB53Yc4ZQtsozHYEiG14tG58L6WFfWs, 151.05740181268882
tz1eyjM7qgcAwVwCoiEGBn3Vp3iBYzdWxCZB, 151.05740181268882
tz1ez5hc7wfNKrZ65vVRyC6JBBxZF6UYX3aD, 302.11480362537765
tz1ez5iMMMy5ttaVaUAs1fN9eNuSeuaokewN, 151.05740181268882
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR, 604.2296072507553
tz1eZqHM3dsE1XsZ5GRXzcZsxUAG1AXByidJ, 151.05740181268882
tz1fbuq6YReixwnLqYS6EtFh3p3ezxH3itx9, 151.05740181268882
tz1fCEeLBcuSMSittqTnMEhcFdPCtD1HsiZc, 453.1722054380665
tz1fdU8vUGW41i2puNDh6DoiixdiEcHdVEKs, 151.05740181268882
tz1feAQgu4hiGMukdBCLjLiDevjUGL1U6zsr, 151.05740181268882
tz1fHB9LeBzjooSqiAK6Rovd9etwCPssRyvC, 302.11480362537765
tz1fK2YzkVLDEQYZ42wq4jS8hTZsefvaZAsh, 151.05740181268882
tz1fKRC9S5AykeQNyYYuXkmeDr4HAFeButYh, 302.11480362537765
tz1fKtBhuuZiMYhM3Pi1hcP2sjRbstgDrmqX, 302.11480362537765
tz1fL2TsQR271w84MXx3qFD7y4PZ1F2mpHFA, 604.2296072507553
tz1fNjMk7tPJVVg3MCE7DZj4x85DXH9DsuuS, 151.05740181268882
tz1fo22Xmf7vAhG5oKRSs1cKwoe61rz8bj4v, 302.11480362537765
tz1fQLfG45QmAt9BfKamCdqLMA2js7MwRKhH, 151.05740181268882
tz1fT3kd2thAU3R3GvTr967McJps82CwFWup, 302.11480362537765
tz1fTW7acprdT7F8c4DSBvXwXp41qJos3Vwk, 151.05740181268882
tz1fu49qdGtSMhvkPT7QEiqnaEAnJQqgKAAY, 151.05740181268882
tz1fW8hikkvPfzHPkZyArYB3d7QRey23trTP, 302.11480362537765
tz1fwd9Ub1AwXaRNLUfdDCtQfWyeq8YcJvCV, 151.05740181268882
tz1fyQVubnpHTRuoftPZ3GYY4kJBrb3wquz7, 302.11480362537765
tz1g1vr7gbU7kwxVqmbmnovTGtdeRxFE6uBk, 151.05740181268882
tz1g2QcL27urJzBZqgpEvusioZQspWEQqjBi, 151.05740181268882
tz1ge7TGTS3aF1JS14dGBUicxjvbmfPCjk5N, 151.05740181268882
tz1gfWTGmcTxn41vJ3EAoS2AWD1G8K94uxG5, 151.05740181268882
tz1ghDu2tnw9XveuAx9zJKxn2DBtefgVD93y, 151.05740181268882
tz1gLNb49fErXUiYdreLAAV6twp4v3Lm8V4H, 151.05740181268882
tz1gMfLSQs6xTM2TcLM6Sb2njJ6h9qhSsT9Z, 151.05740181268882
tz1gp4A8cYNNcfQuYT6LnVQ5Dc1Nwf4vvxS5, 302.11480362537765
tz1gqPptf3kJnnuBx9gpGp933BChYVyoPvAp, 151.05740181268882
tz1gqXVnz1qnCUM2qQHbij4YRNCztgPCT15q, 302.11480362537765
tz1gRw13LYXAoaK6UGq475DhYTRLrp7TGBJy, 151.05740181268882
tz1gSPkEEMkMJjYDa9FrNzxGbMJrdzvqwkW2, 302.11480362537765
tz1gucx7tZJn55vxBNQWzRW6rVfeRLSe12X9, 302.11480362537765
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp, 151.05740181268882
tz1gxoggcFi3GRvr3gSp6nSXSyKJ6RgzXEfb, 151.05740181268882
tz1gZc62y2fzaFCtMdy4WJUuD1CEoSWYt5su, 302.11480362537765
tz1h2XxhaUJ8RvsZAofUzRDNihZLLDLkC8oR, 151.05740181268882
tz1h5N43ourWo8wU43iNQYbEtjAcWYohowd2, 151.05740181268882
tz1hAZNx3LrRKFgfRytoLNVGhCrzU1uVDUHS, 302.11480362537765
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu, 453.1722054380665
tz1hKW9ZbV7U1hb1zPfrE6HG5UWsKt6eppMa, 151.05740181268882
tz1hp5F7iZrQoviSG53p6QHXgQZu24p5EXUd, 151.05740181268882
tz1hQhrsyXLCUnDiea23vsWh4DLS8eXdmwJU, 151.05740181268882
tz1hR6q1QMUC4wLD3izGsfeZ3HuyfJH5QajX, 151.05740181268882
tz1hRZDdpiGm68vPHkvUbmrQLGNLggjxx9PS, 453.1722054380665
tz1hUG853vcF9SBxENwVxfZnMyuLTjh5Ef4b, 151.05740181268882
tz1hVkjxFKtjAYSX6vwzdx47sFqyjjJf7duT, 151.05740181268882
tz1hvqKwQ9wPavCjQPnX4QdV5zBdSaXFp1t6, 151.05740181268882
tz1hwHSjAX4LLuVBZNEwimE4wixPRPSfCy7s, 302.11480362537765
tz1hWxyYMfK3h3y7WvL1ErggtgneuNynC1JA, 151.05740181268882
tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj, 302.11480362537765
tz1hywxoonA3AAtyDtQDsh7RvGCFWoD7nXd1, 151.05740181268882
tz1i33SorsoTPtkQ2jmL1ocaD65FK1MAmEAr, 453.1722054380665
tz1i4GZNMM6Ku2L1jRE2tLq5Hu7556dZ8YHt, 302.11480362537765
tz1i6NCbUd6BCBEL26G8y28d871HHvnTTBDW, 151.05740181268882
tz1i8yq6NJ6E339ewac5wnLg5WS9rVngZapV, 151.05740181268882
tz1iAAJhH465Cf3BnsKQ744XHypQGY1v7Ps9, 151.05740181268882
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4, 151.05740181268882
tz1ie5CKdwKxCgy9MJXC3tGbHGMfG1ysVkhx, 151.05740181268882
tz1ieeRuCdEE5TTLEKsDDYrgiyyaD9XwxCNd, 151.05740181268882
tz1iF5QV7UwnWq9AMkn43Nh2NcuLWx3BxCm3, 151.05740181268882
tz1ih3tpHebToNE4LLgcYWjhhz3h9CoSLgVX, 151.05740181268882
tz1iJJPGh7arygfq5EC2sBaAF23T8iUYTpEH, 151.05740181268882
tz1iMfjNhpcUfDNCFTY5j2S3J6cY9NU8fKuv, 302.11480362537765
tz1imrUNR1R52GxhP4y6XQCDDXtQs11GarTN, 151.05740181268882
tz1iPA3gTLEnEaa9iFdCcPHpnZPXMah9CshZ, 151.05740181268882
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2, 151.05740181268882
tz1isKR8pS4pdgU934K1S4UpLsF56ECJNArh, 151.05740181268882
tz1itNTUuNyTuPo2NHXouxhuzng4mFLn2eHW, 151.05740181268882
tz1iTrJBfWEM1mowWJ1xVGDcfKpAqv89QGwA, 604.2296072507553
tz1iTsru8uhrNaLLWdgREtvxYFrYgrrneywo, 151.05740181268882
tz1iuQgH6htUbmdLALotF4HHbbKxjN7MkGd8, 302.11480362537765
tz1iVi3a22yASeuDvjYsKQWM45QtQx1zL9P8, 151.05740181268882
tz1ix4QkVD9SGun3TZUHp77qgNmuQScHWhQu, 453.1722054380665
tz1iXbbzm9Wogk7D2W2qNwYzePbQVmYP6BXN, 453.1722054380665
tz1KecVSfxmnyGDHKRqegXgjTkwhU7zTop2t, 151.05740181268882
tz1KhU89QWZuuhhnDD1paFp1jYMdpJLh55im, 604.2296072507553
tz1KkAB91jj22vLF23iy8j2FLiNY7UQQNcAm, 151.05740181268882
tz1KmGBhhyesXxsHHUhYhnDB6FpZg9S86MjL, 151.05740181268882
tz1KnpHArbNYQRx6MuU6QJePas9CHNewQx9j, 151.05740181268882
tz1Kos4Ra6sdttpXE6yLYK2KTBfBqkTzXnE3, 302.11480362537765
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku, 151.05740181268882
tz1KpvuPq8Tjn2NcL2kzZPbZ5pto5Jhfn1Bc, 151.05740181268882
tz1KtTk63watvV1MgKtFYYbdzLmkWJNgkxSE, 151.05740181268882
tz1Kw75XexTGpMKeV6FMoUiRRWN8fHZc6HG3, 151.05740181268882
tz1L2tedTEhBmfaJVd2PeVqRmYjaJcKtZ5v3, 302.11480362537765
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST, 302.11480362537765
tz1L8m6MGdvK2WA65wQ7DeVwXVmCS72JKWeN, 151.05740181268882
tz1L8mheYYSQSSxsSqEFyHDcMwJkqy37p5kk, 151.05740181268882
tz1L98rgjYKkLqGoiJ6qLsLdrBxSjLfEnRcm, 151.05740181268882
tz1L9N9UFt34nZyUvazrsqfUrXitkb1vzYc3, 151.05740181268882
tz1L9o9zasQLvyxpSwhekofMAZQmjFP8wjVX, 302.11480362537765
tz1LC6spS4FL2aLDmZ5dxBkjek9KVkis2qrD, 151.05740181268882
tz1LCxKMsFAZL22892bGgiz8HFy3XJ77ovpp, 151.05740181268882
tz1LETorkxsSMisCtzE6euYCTrqUJrFpPLyz, 302.11480362537765
tz1LeYVAjRmE3MnyNmYKg9ft3XarY9sWsHqD, 302.11480362537765
tz1LGEUSxGeg7sLJVCRphGEXHCaEgeCYZ8pB, 151.05740181268882
tz1LGkz6e1mTymuFyHBVFQZsHEtHepCYYgXD, 151.05740181268882
tz1LHh1BAEf7tJDZnqqF8pSS9Uy4dLhu3bGJ, 453.1722054380665
tz1Lhhzd16ZGf1gwM1o7UJUU3KUm9oB9FGeg, 755.2870090634441
tz1LMwpzp6amFjuJWMoaUQaQcLxb7XTXux15, 151.05740181268882
tz1LneSuN2kX6i6womnMXBdNzJHXKWJNCW24, 151.05740181268882
tz1LovFrdT3D2uY5ijGnb16172szCqFazDCE, 302.11480362537765
tz1LQbbrjCaCGHeXeoZPyzNfJ7bDg5zWJSja, 151.05740181268882
tz1Lr5b1P6dXGMVhgSa3MeTyBfy8uxSs6V4q, 151.05740181268882
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6, 302.11480362537765
tz1LSFyZ4z6k34KQ9rsoxE6gTgmik1nn2Zmy, 151.05740181268882
tz1LSMu9PugfVyfX2ynNU9y4eVvSACJKP7sg, 453.1722054380665
tz1LUdy3KnxyyARheKtfcnRymhUq82SKLvyx, 151.05740181268882
tz1LxFeaR3ZNkMRstvhjNeVbpv9vz2LttLBz, 151.05740181268882
tz1LxkEN5DUeU4usSqobNqYmvWa5VN1NC2B4, 302.11480362537765
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7, 151.05740181268882
tz1M2MZgecBAEgZzMEcw4RTLDKZRSRJLBQcN, 151.05740181268882
tz1M5PbzRQTG5rBQqD3jSoR46BefzuwMqmiY, 302.11480362537765
tz1Md6npfDk8cL8rjnPNZU15tHvyCZkcGDuu, 151.05740181268882
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy, 604.2296072507553
tz1Me1MGhK7taay748h4gPnX2cXvbgL6xsYL, 302.11480362537765
